id,name,zone,line_name,opened,nightopened,closed,geometry
940GZZLUEMB,Embankment,1,Bakerloo,,,,POINT (-0.122576588790111 51.50701399676181)
940GZZLUEMB,Embankment,1,District,,,,POINT (-0.122576588790111 51.50701399676181)
940GZZLUEMB,Embankment,1,Circle,,,,POINT (-0.122576588790111 51.50701399676181)
940GZZLUEMB,Embankment,1,Northern,,2016.0,,POINT (-0.122576588790111 51.50701399676181)
940GZZLUEPG,Epping,6,Central,,,,POINT (0.114527911384721 51.69417689686912)
940GZZLUEPK,Elm Park,6,District,,,,POINT (0.197463611346884 51.54964269677793)
940GZZLUEPY,East Putney,2/3,District,,,,POINT (-0.211061788845485 51.459069396734456)
940GZZLUERB,Edgware Road,1,Bakerloo,,,,POINT (-0.170339088801731 51.52048279677113)
940GZZLUERC,Edgware Road,1,District,,,,POINT (-0.168087788801234 51.5197314967706)
940GZZLUERC,Edgware Road,1,Hammersmith & City,,,,POINT (-0.168087788801234 51.5197314967706)
940GZZLUERC,Edgware Road,1,Circle,,,,POINT (-0.168087788801234 51.5197314967706)
940GZZLUESQ,Euston Square,1,Hammersmith & City,,,,POINT (-0.135533888786276 51.52568399677351)
940GZZLUESQ,Euston Square,1,Circle,,,,POINT (-0.135533888786276 51.52568399677351)
940GZZLUESQ,Euston Square,1,Metropolitan,,,,POINT (-0.135533888786276 51.52568399677351)
940GZZLUEUS,Euston,1,Northern,,2016.0,,POINT (-0.134285634335371 51.52843237909594)
940GZZLUEUS,Euston,1,Victoria,,2016.0,,POINT (-0.134285634335371 51.52843237909594)
940GZZLUFBY,Fulham Broadway,2,District,,,,POINT (-0.19528088882977 51.48018419674701)
940GZZLUFCN,Farringdon,1,Hammersmith & City,,,,POINT (-0.104665688777305 51.52020699676942)
940GZZLUFCN,Farringdon,1,Circle,,,,POINT (-0.104665688777305 51.52020699676942)
940GZZLUFCN,Farringdon,1,Metropolitan,,,,POINT (-0.104665688777305 51.52020699676942)
940GZZLUFLP,Fairlop,4,Central,,2016.0,,POINT (0.091113211330209 51.59594924680992)
940GZZLUFPK,Finsbury Park,2,Piccadilly,,2016.0,,POINT (-0.1063375688362 51.56463857774401)
940GZZLUFPK,Finsbury Park,2,Victoria,,2016.0,,POINT (-0.1063375688362 51.56463857774401)
940GZZLUFPK,Finsbury Park,2,National Rail,,,,POINT (-0.1063375688362 51.56463857774401)
940GZZLUFYC,Finchley Central,4,Northern,,2016.0,,POINT (-0.191944088772822 51.60068319682085)
940GZZLUFYR,Finchley Road,2,Jubilee,,2016.0,,POINT (-0.18088378879325 51.54737739678782)
940GZZLUFYR,Finchley Road,2,Metropolitan,,,,POINT (-0.18088378879325 51.54737739678782)
940GZZLUGBY,Gunnersbury,3,District,,,,POINT (-0.275379788854744 51.49161429675562)
940GZZLUGBY,Gunnersbury,3,London Overground,2007.0,,,POINT (-0.275379788854744 51.49161429675562)
940GZZLUGDG,Goodge Street,1,Northern,,2016.0,,POINT (-0.134358188788237 51.520514996770316)
940GZZLUGFD,Greenford,4,Central,,,,POINT (-0.344816288858051 51.54218769678803)
940GZZLUGFD,Greenford,4,National Rail,,,,POINT (-0.344816288858051 51.54218769678803)
940GZZLUGGH,Grange Hill,4,Central,,,,POINT (0.092516111338766 51.61312099682036)
940GZZLUGGN,Golders Green,3,Northern,,2016.0,,POINT (-0.194086188786676 51.572397296803494)
940GZZLUGHK,Goldhawk Road,2,Circle,2009.0,,,POINT (-0.226673988831524 51.501946696760996)
940GZZLUGHK,Goldhawk Road,2,Hammersmith & City,,,,POINT (-0.226673988831524 51.501946696760996)
940GZZLUGPK,Green Park,1,Jubilee,,2016.0,,POINT (-0.143118596634923 51.506557424159396)
940GZZLUGPK,Green Park,1,Piccadilly,,2016.0,,POINT (-0.143118596634923 51.506557424159396)
940GZZLUGPK,Green Park,1,Victoria,,2016.0,,POINT (-0.143118596634923 51.506557424159396)
940GZZLUGPS,Great Portland Street,1,Hammersmith & City,,,,POINT (-0.143920888790271 51.52383669677256)
940GZZLUGPS,Great Portland Street,1,Circle,,,,POINT (-0.143920888790271 51.52383669677256)
